Ngày hạch toán,Đơn hàng,Mã KH,Mã Sản Phẩm,Số lượng bán,Đơn giá,Doanh thu,Giá vốn hàng hóa,Mã nhân viên bán,Chi nhánh
4/29/2015,ĐH0000128,KH-0260,P-301,1,17650000,17650000,12355000,NV00081,CN HCM
4/30/2015,ĐH0000128,KH-0260,P-301,1,17650000,17650000,11472500,NV00081,CN HN
5/1/2015,ĐH0000196,KH-0340,P-073,1,9940000,9940000,5964000,NV00081,CN HCM
5/2/2015,ĐH0000237,KH-0341,P-302,1,24545454.54,24545455,15954545.75,NV00081,CN HCM
5/3/2015,ĐH0000246,KH-0342,P-046,1,17530000,17530000,10518000,NV00081,CN HN
5/4/2015,ĐH0000255,KH-0343,P-303,1,85600000,85600000,51360000,NV00081,CN HN
5/5/2015,ĐH0000286,KH-0140,P-015,1,3700000,3700000,2220000,NV00081,CN HP
5/6/2015,ĐH0000294,KH-0344,P-037,1,6230000,6230000,4361000,NV00081,CN HP
5/7/2015,ĐH0000314,KH-0140,P-016,1,7445000,7445000,4839250,NV00081,CN HN
5/8/2015,ĐH0000334,KH-0345,P-045,1,5450000,5450000,3270000,NV00081,CN HP
5/9/2015,ĐH0000407,KH-0338,P-071,1,750000,750000,450000,NV00081,CN HN
5/10/2015,ĐH0000420,KH-0245,P-304,1,850000,850000,552500,NV00081,CN HN
5/11/2015,ĐH0000421,KH-0245,P-015,1,3660000,3660000,2379000,NV00081,CN HCM
5/12/2015,ĐH0000421,KH-0245,P-016,1,7300000,7300000,4745000,NV00081,CN HN
5/13/2015,ĐH0000427,KH-0260,P-305,1,2180000,2180000,1308000,NV00081,CN HP
5/14/2015,ĐH0000473,KH-0260,P-015,1,3770000,3770000,2450500,NV00081,CN HP
5/15/2015,ĐH0000473,KH-0260,P-016,1,7498000,7498000,4498800,NV00081,CN HN
5/16/2015,ĐH0003789,KH-0346,P-020,1,2100000,2100000,1260000,NV00046,CN HP
5/17/2015,ĐH0003817,KH-0124,P-071,1,660000,660000,396000,NV00046,CN HP
5/18/2015,ĐH0003818,KH-0299,P-071,1,640000,640000,448000,NV00046,CN HN
5/19/2015,ĐH0003858,KH-0347,P-128,1,4100000,4100000,2665000,NV00046,CN HCM
5/20/2015,ĐH0003890,KH-0348,P-071,1,640000,640000,384000,NV00046,CN HCM
5/21/2015,ĐH0003909,KH-0124,P-071,1,660000,660000,462000,NV00046,CN HN
5/22/2015,ĐH0003951,KH-0349,P-028,1,3200000,3200000,2080000,NV00046,CN HN
5/23/2015,ĐH0003951,KH-0349,P-128,1,4100000,4100000,2460000,NV00046,CN HN
5/24/2015,ĐH0004041,KH-0348,P-071,1,640000,640000,416000,NV00046,CN HP
5/25/2015,ĐH0004045,KH-0350,P-054,1,310000,310000,217000,NV00046,CN HN
5/26/2015,ĐH0001205,KH-0351,P-101,1,580000,580000,348000,NV00046,CN HCM
5/27/2015,ĐH0001209,KH-0352,P-075,1,800000,800000,480000,NV00046,CN HN
5/28/2015,ĐH0001223,KH-0353,P-015,1,4010000,4010000,2606500,NV00046,CN HN
5/29/2015,ĐH0001223,KH-0353,P-016,1,7300000,7300000,4745000,NV00046,CN HN
5/30/2015,ĐH0001244,KH-0354,P-076,1,1000000,1000000,600000,NV00046,CN HN
5/31/2015,ĐH0001254,KH-0355,P-306,1,29440000,29440000,19136000,NV00046,CN HP
6/1/2015,ĐH0001254,KH-0355,P-307,1,27900000,27900000,18135000,NV00046,CN HP
6/2/2015,ĐH0001300,KH-0356,P-101,1,520000,520000,338000,NV00046,CN HCM
6/3/2015,ĐH0001351,KH-0348,P-071,1,780000,780000,468000,NV00046,CN HCM
6/4/2015,ĐH0001385,KH-0357,P-075,1,690000,690000,414000,NV00046,CN HP
6/5/2015,ĐH0001385,KH-0357,P-075,1,690000,690000,448500,NV00046,CN HCM
6/6/2015,ĐH0001389,KH-0358,P-081,1,1400000,1400000,840000,NV00046,CN HCM
6/7/2015,ĐH0001435,KH-0305,P-071,1,760000,760000,456000,NV00046,CN HCM
6/8/2015,ĐH0001445,KH-0359,P-003,1,2150000,2150000,1397500,NV00046,CN HN
6/9/2015,ĐH0001452,KH-0356,P-101,1,520000,520000,364000,NV00046,CN HCM
6/10/2015,ĐH0001504,KH-0360,P-071,1,780000,780000,507000,NV00046,CN HN
6/11/2015,ĐH0001537,KH-0361,P-308,1,160000,160000,104000,NV00046,CN HP
6/12/2015,ĐH0001565,KH-0356,P-177,1,91092000,91092000,54655200,NV00046,CN HP
6/13/2015,ĐH0001565,KH-0356,P-309,1,20420000,20420000,14294000,NV00046,CN HP
6/14/2015,ĐH0001569,KH-0362,P-020,1,2600000,2600000,1690000,NV00046,CN HP
6/15/2015,ĐH0001570,KH-0348,P-071,1,780000,780000,546000,NV00046,CN HCM
6/16/2015,ĐH0001589,KH-0338,P-071,1,780000,780000,546000,NV00046,CN HN
6/17/2015,ĐH0001591,KH-0356,P-032,1,8230000,8230000,5761000,NV00046,CN HCM
6/18/2015,ĐH0001591,KH-0356,P-012,1,8230000,8230000,5761000,NV00046,CN HCM
6/19/2015,ĐH0001616,KH-0363,P-016,1,7020000,7020000,4914000,NV00046,CN HCM
6/20/2015,ĐH0001646,KH-0364,P-190,1,185000,185000,129500,NV00046,CN HN
6/21/2015,ĐH0001639,KH-0365,P-081,1,1300000,1300000,780000,NV00046,CN HP
6/22/2015,ĐH0001661,KH-0366,P-018,1,3050000,3050000,2135000,NV00046,CN HP
6/23/2015,ĐH0001665,KH-0348,P-071,1,780000,780000,468000,NV00046,CN HP
6/24/2015,ĐH0001687,KH-0367,P-166,1,14350000,14350000,9327500,NV00046,CN HN
6/25/2015,ĐH0001689,KH-0356,P-012,1,8200000,8200000,5740000,NV00046,CN HP
6/26/2015,ĐH0001695,KH-0368,P-310,1,6130000,6130000,3678000,NV00046,CN HN
6/27/2015,ĐH0001736,KH-0367,P-025,1,17998443,17998443,12598910.1,NV00046,CN HN
6/28/2015,ĐH0001753,KH-0369,P-311,1,590000,590000,413000,NV00046,CN HCM
6/29/2015,ĐH0001764,KH-0370,P-071,1,730000,730000,511000,NV00046,CN HCM
6/30/2015,ĐH0001767,KH-0371,P-312,1,3100000,3100000,2015000,NV00046,CN HN
7/1/2015,ĐH0001774,KH-0372,P-025,1,17443000,17443000,11337950,NV00046,CN HN
7/2/2015,ĐH0001774,KH-0372,P-186,1,4059000,4059000,2638350,NV00046,CN HN
7/3/2015,ĐH0004813,KH-0176,P-313,1,46900000,46900000,28140000,NV00046,CN HN
7/4/2015,ĐH0004830,KH-0373,P-314,1,2970000,2970000,1930500,NV00046,CN HCM
7/5/2015,ĐH0004838,KH-0176,P-045,1,5450000,5450000,3270000,NV00046,CN HN
7/6/2015,ĐH0004858,KH-0176,P-229,1,750000,750000,450000,NV00046,CN HN
7/7/2015,ĐH0004859,KH-0176,P-228,1,525000,525000,341250,NV00046,CN HCM
7/8/2015,ĐH0004859,KH-0176,P-184,1,3443000,3443000,2237950,NV00046,CN HCM
7/9/2015,ĐH0004872,KH-0124,P-071,1,770000,770000,500500,NV00046,CN HP
7/10/2015,ĐH0004886,KH-0374,P-315,1,21000000,21000000,13650000,NV00046,CN HCM
7/11/2015,ĐH0004887,KH-0356,P-040,1,23500000,23500000,15275000,NV00046,CN HP
7/12/2015,ĐH0004892,KH-0176,P-316,1,21400000,21400000,12840000,NV00046,CN HN
7/13/2015,ĐH0004893,KH-0176,P-050,1,1000000,1000000,700000,NV00046,CN HN
7/14/2015,ĐH0004951,KH-0375,P-317,1,1580000,1580000,1106000,NV00046,CN HCM
7/15/2015,ĐH0004951,KH-0375,P-318,1,1485000,1485000,1039500,NV00046,CN HP
7/16/2015,ĐH0004951,KH-0375,P-319,1,4235000,4235000,2541000,NV00046,CN HP
7/17/2015,ĐH0004991,KH-0376,P-229,1,800000,800000,560000,NV00046,CN HN
7/18/2015,ĐH0004997,KH-0176,P-229,1,750000,750000,525000,NV00046,CN HN
7/19/2015,ĐH0004998,KH-0176,P-229,1,750000,750000,487500,NV00046,CN HP
7/20/2015,ĐH0000002,KH-0176,P-177,1,92000000,92000000,55200000,NV00046,CN HCM
7/21/2015,ĐH0000002,KH-0176,P-320,1,24500000,24500000,15925000,NV00046,CN HN
7/22/2015,ĐH0000007,KH-0377,P-071,1,780000,780000,468000,NV00046,CN HCM
7/23/2015,ĐH0000049,KH-0378,P-166,1,14530000,14530000,9444500,NV00046,CN HP
7/24/2015,ĐH0000049,KH-0378,P-166,1,14530000,14530000,8718000,NV00046,CN HCM
7/25/2015,ĐH0000049,KH-0378,P-166,1,14530000,14530000,10171000,NV00046,CN HCM
7/26/2015,ĐH0000049,KH-0378,P-166,1,14530000,14530000,9444500,NV00046,CN HCM
7/27/2015,ĐH0000032,KH-0176,P-284,1,34200000,34200000,23940000,NV00046,CN HCM
7/28/2015,ĐH0000055,KH-0305,P-101,1,560000,560000,364000,NV00046,CN HN
7/29/2015,ĐH0000056,KH-0267,P-071,1,760000,760000,532000,NV00046,CN HCM
7/30/2015,ĐH0000057,KH-0305,P-071,1,760000,760000,456000,NV00046,CN HN
7/31/2015,ĐH0000059,KH-0379,P-321,1,5750000,5750000,4025000,NV00046,CN HP
8/1/2015,ĐH0000059,KH-0379,P-015,1,4100000,4100000,2870000,NV00046,CN HN
8/2/2015,ĐH0000059,KH-0379,P-075,1,900000,900000,630000,NV00046,CN HP
8/3/2015,ĐH0000059,KH-0379,P-054,1,270000,270000,175500,NV00046,CN HCM
8/4/2015,ĐH0000063,KH-0348,P-071,1,780000,780000,546000,NV00046,CN HP
8/5/2015,ĐH0000071,KH-0176,P-023,1,9150000,9150000,5947500,NV00046,CN HN
8/6/2015,ĐH0000082,KH-0176,P-229,1,750000,750000,450000,NV00046,CN HN
8/7/2015,ĐH0000097,KH-0176,P-045,1,5450000,5450000,3815000,NV00046,CN HP
8/8/2015,ĐH0000114,KH-0364,P-190,1,180000,180000,117000,NV00046,CN HN
8/9/2015,ĐH0000146,KH-0176,P-184,1,3443000,3443000,2410100,NV00046,CN HP
8/10/2015,ĐH0000163,KH-0380,P-166,1,14810000,14810000,9626500,NV00046,CN HP
8/11/2015,ĐH0000170,KH-0381,P-101,1,580000,580000,377000,NV00046,CN HN
8/12/2015,ĐH0000170,KH-0381,P-071,1,770000,770000,539000,NV00046,CN HN
8/13/2015,ĐH0000180,KH-0176,P-229,1,750000,750000,487500,NV00046,CN HP
8/14/2015,ĐH0000181,KH-0176,P-228,1,525000,525000,341250,NV00046,CN HP
8/15/2015,ĐH0000181,KH-0176,P-228,1,525000,525000,341250,NV00046,CN HP
8/16/2015,ĐH0000197,KH-0382,P-322,1,6900000,6900000,4140000,NV00046,CN HCM
8/17/2015,ĐH0000199,KH-0364,P-018,1,3235000,3235000,2102750,NV00046,CN HCM
8/18/2015,ĐH0000199,KH-0364,P-017,1,4151000,4151000,2905700,NV00046,CN HP
8/19/2015,ĐH0000200,KH-0364,P-323,1,3080000,3080000,2002000,NV00046,CN HCM
8/20/2015,ĐH0000200,KH-0364,P-324,1,11880000,11880000,7722000,NV00046,CN HCM
8/21/2015,ĐH0000202,KH-0176,P-228,1,954000,954000,572400,NV00046,CN HP
8/22/2015,ĐH0000202,KH-0176,P-228,1,893000,893000,580450,NV00046,CN HN
8/23/2015,ĐH0000211,KH-0176,P-229,1,750000,750000,525000,NV00046,CN HCM
8/24/2015,ĐH0000234,KH-0383,P-325,1,2610000,2610000,1827000,NV00046,CN HP
8/25/2015,ĐH0000254,KH-0373,P-326,1,390000,390000,273000,NV00046,CN HP
8/26/2015,ĐH0000256,KH-0176,P-037,1,6480000,6480000,3888000,NV00046,CN HP
8/27/2015,ĐH0000265,KH-0384,P-166,1,14750000,14750000,9587500,NV00046,CN HN
8/28/2015,ĐH0000290,KH-0385,P-075,1,900000,900000,630000,NV00046,CN HP
8/29/2015,ĐH0000301,KH-0386,P-327,1,1800000,1800000,1260000,NV00046,CN HN
8/30/2015,ĐH0000303,KH-0386,P-327,1,1800000,1800000,1170000,NV00046,CN HP
8/31/2015,ĐH0000379,KH-0022,P-054,1,290000,290000,174000,NV00046,CN HP
9/1/2015,ĐH0000398,KH-0176,P-229,1,750000,750000,487500,NV00046,CN HCM
9/2/2015,ĐH0000410,KH-0176,P-229,1,750000,750000,450000,NV00046,CN HCM
9/3/2015,ĐH0000414,KH-0387,P-328,1,280000,280000,182000,NV00046,CN HP
9/4/2015,ĐH0000429,KH-0176,P-058,1,18200000,18200000,10920000,NV00046,CN HCM
9/5/2015,ĐH0000450,KH-0388,P-101,1,580000,580000,377000,NV00046,CN HP
9/6/2015,ĐH0000460,KH-0389,P-009,1,17600000,17600000,11440000,NV00046,CN HP
9/7/2015,ĐH0002193,KH-0390,P-097,1,4200000,4200000,2940000,NV00009,CN HN
9/8/2015,ĐH0002194,KH-0390,P-329,1,20000000,20000000,12000000,NV00009,CN HCM
9/9/2015,ĐH0002194,KH-0390,P-330,1,2909091,2909091,1745454.6,NV00009,CN HN
9/10/2015,ĐH0002236,KH-0390,P-331,1,85015000,85015000,51009000,NV00009,CN HN
9/11/2015,ĐH0002238,KH-0391,P-332,1,1536363.63,1536364,921818.4,NV00009,CN HN
9/12/2015,ĐH0002235,KH-0390,P-100,1,17500000,17500000,10500000,NV00009,CN HP
9/13/2015,ĐH0002314,KH-0390,P-333,1,6636364,6636364,3981818.4,NV00009,CN HP
9/14/2015,ĐH0002351,KH-0392,P-334,1,3818182,3818182,2672727.4,NV00009,CN HP
9/15/2015,ĐH0002352,KH-0390,P-329,1,21090909,21090909,14763636.3,NV00009,CN HP
9/16/2015,ĐH0003746,KH-0393,P-335,1,16925185,16925185,11847629.5,NV00009,CN HN
9/17/2015,ĐH0003747,KH-0393,P-054,1,270000,270000,189000,NV00009,CN HN
9/18/2015,ĐH0003724,KH-0392,P-336,1,9650000,9650000,5790000,NV00009,CN HCM
9/19/2015,ĐH0003724,KH-0392,P-337,1,2000000,2000000,1400000,NV00009,CN HCM
9/20/2015,ĐH0003724,KH-0392,P-338,1,20760000,20760000,14532000,NV00009,CN HN
9/21/2015,ĐH0003724,KH-0392,P-339,1,1880000,1880000,1316000,NV00009,CN HCM
9/22/2015,ĐH0003724,KH-0392,P-340,1,245000,245000,171500,NV00009,CN HP
9/23/2015,ĐH0003760,KH-0215,P-341,1,23582000,23582000,16507400,NV00009,CN HP
9/24/2015,ĐH0003764,KH-0007,P-342,1,21118000,21118000,14782600,NV00009,CN HP
9/25/2015,ĐH0003774,KH-0394,P-343,1,4880000,4880000,3172000,NV00009,CN HP
9/26/2015,ĐH0003796,KH-0395,P-344,1,44081818,44081818,26449090.8,NV00009,CN HCM
9/27/2015,ĐH0003796,KH-0395,P-345,1,10809090.9,10809091,6485454.6,NV00009,CN HN
9/28/2015,ĐH0003797,KH-0395,P-028,1,3050000,3050000,1830000,NV00009,CN HP
9/29/2015,ĐH0003797,KH-0395,P-128,1,4293000,4293000,2790450,NV00009,CN HP
9/30/2015,ĐH0003798,KH-0395,P-345,1,10809090.9,10809091,7025909.15,NV00009,CN HP
10/1/2015,ĐH0003806,KH-0396,P-015,1,4100000,4100000,2665000,NV00009,CN HP
10/2/2015,ĐH0003825,KH-0397,P-346,1,0,0,0,NV00009,CN HP
10/3/2015,ĐH0003840,KH-0398,P-347,1,43800000,43800000,26280000,NV00009,CN HCM
10/4/2015,ĐH0003840,KH-0398,P-348,1,60500000,60500000,39325000,NV00009,CN HCM
10/5/2015,ĐH0003911,KH-0007,P-349,1,25413000,25413000,16518450,NV00009,CN HN
10/6/2015,ĐH0003911,KH-0007,P-342,1,26247000,26247000,18372900,NV00009,CN HN
10/7/2015,ĐH0003911,KH-0007,P-284,1,31250000,31250000,21875000,NV00009,CN HCM
10/8/2015,ĐH0003937,KH-0399,P-003,1,2050000,2050000,1230000,NV00009,CN HN
10/9/2015,ĐH0003948,KH-0400,P-028,1,2900000,2900000,2030000,NV00009,CN HP
10/10/2015,ĐH0004081,KH-0401,P-283,1,101590807,101590807,71113564.9,NV00009,CN HCM
10/11/2015,ĐH0004081,KH-0401,P-284,1,25402786,25402786,15241671.6,NV00009,CN HCM
10/12/2015,ĐH0003988,KH-0402,P-025,1,16780778,16780778,11746544.6,NV00009,CN HN
10/13/2015,ĐH0004005,KH-0393,P-335,1,17625000,17625000,10575000,NV00009,CN HN
10/14/2015,ĐH0004005,KH-0393,P-269,1,780000,780000,546000,NV00009,CN HCM
10/15/2015,ĐH0004007,KH-0403,P-025,1,21500000,21500000,15050000,NV00009,CN HCM
10/16/2015,ĐH0004009,KH-0176,P-269,1,620000,620000,372000,NV00009,CN HP
10/17/2015,ĐH0004016,KH-0400,P-269,1,750000,750000,450000,NV00009,CN HCM
10/18/2015,ĐH0004018,KH-0007,P-283,1,102067000,102067000,71446900,NV00009,CN HCM
10/19/2015,ĐH0004018,KH-0007,P-342,1,26015000,26015000,18210500,NV00009,CN HP
10/20/2015,ĐH0004025,KH-0401,P-342,1,118266000,118266000,70959600,NV00009,CN HCM
10/21/2015,ĐH0004034,KH-0404,P-350,1,18100000,18100000,12670000,NV00009,CN HCM
10/22/2015,ĐH0004059,KH-0176,P-351,1,880000,880000,528000,NV00009,CN HCM
10/23/2015,ĐH0004060,KH-0176,P-269,1,620000,620000,403000,NV00009,CN HN
10/24/2015,ĐH0004061,KH-0176,P-269,1,620000,620000,403000,NV00009,CN HCM
10/25/2015,ĐH0001266,KH-0202,P-004,1,12660000,12660000,8229000,NV00009,CN HP
10/26/2015,ĐH0001267,KH-0405,P-054,1,300000,300000,195000,NV00009,CN HN
10/27/2015,ĐH0001303,KH-0395,P-352,1,2150000,2150000,1397500,NV00009,CN HP
10/28/2015,ĐH0001294,KH-0218,P-353,1,4172727.27,4172727,2503636.2,NV00009,CN HN
10/29/2015,ĐH0001313,KH-0400,P-354,1,1295000,1295000,777000,NV00009,CN HN
10/30/2015,ĐH0001322,KH-0176,P-283,1,118561000,118561000,82992700,NV00009,CN HP
10/31/2015,ĐH0001322,KH-0176,P-355,1,69599000,69599000,45239350,NV00009,CN HP
11/1/2015,ĐH0001326,KH-0246,P-030,1,5200000,5200000,3120000,NV00009,CN HN
11/2/2015,ĐH0001416,KH-0202,P-030,1,5200000,5200000,3640000,NV00009,CN HN
11/3/2015,ĐH0001468,KH-0406,P-012,1,8365500,8365500,5019300,NV00009,CN HCM
11/4/2015,ĐH0001468,KH-0406,P-032,1,8365500,8365500,5437575,NV00009,CN HP
11/5/2015,ĐH0001510,KH-0407,P-025,1,17975000,17975000,12582500,NV00009,CN HN
11/6/2015,ĐH0001629,KH-0408,P-015,1,3656635,3656635,2193981,NV00009,CN HP
11/7/2015,ĐH0001629,KH-0408,P-016,1,7274633,7274633,5092243.1,NV00009,CN HCM
11/8/2015,ĐH0001664,KH-0395,P-356,1,954545.45,954545,572727,NV00009,CN HP
11/9/2015,ĐH0001696,KH-0395,P-212,1,2150000,2150000,1397500,NV00009,CN HCM
11/10/2015,ĐH0001699,KH-0155,P-357,1,7550000,7550000,5285000,NV00009,CN HCM
11/11/2015,ĐH0001699,KH-0155,P-358,1,15000000,15000000,9000000,NV00009,CN HN
11/12/2015,ĐH0001699,KH-0155,P-359,1,600000,600000,420000,NV00009,CN HN
11/13/2015,ĐH0004831,KH-0409,P-265,1,32900000,32900000,23030000,NV00009,CN HCM
11/14/2015,ĐH0004841,KH-0410,P-020,1,2050000,2050000,1230000,NV00009,CN HP
11/15/2015,ĐH0004932,KH-0411,P-046,1,17430000,17430000,11329500,NV00009,CN HP
11/16/2015,ĐH0004932,KH-0411,P-034,1,17725000,17725000,10635000,NV00009,CN HCM
11/17/2015,ĐH0004924,KH-0412,P-019,1,2800000,2800000,1680000,NV00009,CN HN
11/18/2015,ĐH0004933,KH-0400,P-009,1,14550000,14550000,9457500,NV00009,CN HCM
11/19/2015,ĐH0004944,KH-0413,P-360,1,223783000,223783000,156648100,NV00009,CN HN
11/20/2015,ĐH0000011,KH-0265,P-361,1,10810000,10810000,7026500,NV00009,CN HN
11/21/2015,ĐH0000011,KH-0265,P-362,1,4700000,4700000,3290000,NV00009,CN HN
11/22/2015,ĐH0000023,KH-0395,P-363,1,51855000,51855000,31113000,NV00009,CN HN
11/23/2015,ĐH0000024,KH-0395,P-017,1,4293000,4293000,2790450,NV00009,CN HCM
11/24/2015,ĐH0000024,KH-0395,P-018,1,3160000,3160000,2054000,NV00009,CN HCM
11/25/2015,ĐH0000026,KH-0414,P-364,1,4104000,4104000,2872800,NV00009,CN HN
11/26/2015,ĐH0000066,KH-0406,P-020,1,2000000,2000000,1300000,NV00009,CN HP
11/27/2015,ĐH0000070,KH-0415,P-082,1,18835000,18835000,13184500,NV00009,CN HCM
11/28/2015,ĐH0000070,KH-0415,P-083,1,9000000,9000000,5400000,NV00009,CN HN
11/29/2015,ĐH0000098,KH-0416,P-265,1,29900000,29900000,20930000,NV00009,CN HCM
11/30/2015,ĐH0000132,KH-0417,P-365,1,11500000,11500000,7475000,NV00009,CN HCM
12/1/2015,ĐH0000132,KH-0417,P-366,1,450000,450000,315000,NV00009,CN HCM
12/2/2015,ĐH0000132,KH-0417,P-366,1,450000,450000,315000,NV00009,CN HCM
12/3/2015,ĐH0000132,KH-0417,P-365,1,11500000,11500000,8050000,NV00009,CN HN
12/4/2015,ĐH0000116,KH-0418,P-192,1,13700000,13700000,8905000,NV00009,CN HP
12/5/2015,ĐH0000125,KH-0400,P-034,1,18069000,18069000,11744850,NV00009,CN HN
12/6/2015,ĐH0000125,KH-0400,P-009,1,14600000,14600000,9490000,NV00009,CN HP
12/7/2015,ĐH0000130,KH-0406,P-082,1,14380000,14380000,8628000,NV00009,CN HCM
12/8/2015,ĐH0000133,KH-0191,P-367,1,161200000,161200000,96720000,NV00009,CN HN
12/9/2015,ĐH0000242,KH-0395,P-018,1,3160000,3160000,1896000,NV00009,CN HP
12/10/2015,ĐH0000242,KH-0395,P-017,1,4293000,4293000,2575800,NV00009,CN HCM
12/11/2015,ĐH0000243,KH-0395,P-368,1,8000000,8000000,4800000,NV00009,CN HCM
12/12/2015,ĐH0000293,KH-0265,P-369,1,18550000,18550000,12985000,NV00009,CN HN
12/13/2015,ĐH0000293,KH-0265,P-370,1,23100000,23100000,15015000,NV00009,CN HCM
12/14/2015,ĐH0000293,KH-0265,P-371,1,5800000,5800000,3480000,NV00009,CN HCM
12/15/2015,ĐH0000295,KH-0419,P-056,1,15715000,15715000,11000500,NV00009,CN HCM
12/16/2015,ĐH0000317,KH-0420,P-060,1,1400000,1400000,980000,NV00009,CN HN
12/17/2015,ĐH0000355,KH-0421,P-372,1,47390000,47390000,28434000,NV00009,CN HP
12/18/2015,ĐH0000355,KH-0421,P-373,1,34880000,34880000,20928000,NV00009,CN HP
12/19/2015,ĐH0000330,KH-0406,P-012,1,8100000,8100000,5670000,NV00009,CN HN
12/20/2015,ĐH0000330,KH-0406,P-032,1,8100000,8100000,4860000,NV00009,CN HN
12/21/2015,ĐH0000330,KH-0406,P-065,1,8100000,8100000,4860000,NV00009,CN HP
12/22/2015,ĐH0000330,KH-0406,P-374,1,8100000,8100000,5265000,NV00009,CN HP
12/23/2015,ĐH0000345,KH-0422,P-375,1,8680000,8680000,5642000,NV00009,CN HP
12/24/2015,ĐH0000376,KH-0417,P-376,1,22400000,22400000,13440000,NV00009,CN HN
12/25/2015,ĐH0000376,KH-0417,P-377,1,15590000,15590000,10913000,NV00009,CN HP
12/26/2015,ĐH0000487,KH-0423,P-378,1,950000,950000,570000,NV00009,CN HP
12/27/2015,ĐH0000487,KH-0423,P-379,1,4800000,4800000,3120000,NV00009,CN HP
12/28/2015,ĐH0000487,KH-0423,P-380,1,250000,250000,175000,NV00009,CN HCM
12/29/2015,ĐH0000487,KH-0423,P-381,1,1900000,1900000,1330000,NV00009,CN HP
12/30/2015,ĐH0002157,KH-0424,P-382,1,11809091,11809091,7085454.6,NV00007,CN HP
12/31/2015,ĐH0002157,KH-0424,P-383,1,90909,90909,59090.85,NV00007,CN HP
1/1/2016,ĐH0002157,KH-0424,P-384,1,1954545,1954545,1172727,NV00007,CN HN
1/2/2016,ĐH0002158,KH-0424,P-028,1,2900000,2900000,2030000,NV00007,CN HN
1/3/2016,ĐH0002159,KH-0375,P-054,1,250000,250000,162500,NV00007,CN HCM
1/4/2016,ĐH0002161,KH-0425,P-100,1,16965000,16965000,11875500,NV00007,CN HCM
1/5/2016,ĐH0002163,KH-0426,P-115,1,36660000,36660000,25662000,NV00007,CN HP
1/6/2016,ĐH0002166,KH-0353,P-121,1,3950000,3950000,2370000,NV00007,CN HCM
1/7/2016,ĐH0002186,KH-0427,P-385,1,6000000,6000000,3900000,NV00007,CN HN
1/8/2016,ĐH0002186,KH-0427,P-386,1,18950000,18950000,12317500,NV00007,CN HP
1/9/2016,ĐH0002192,KH-0428,P-098,1,3950000,3950000,2567500,NV00007,CN HN
1/10/2016,ĐH0002192,KH-0428,P-068,1,2160000,2160000,1296000,NV00007,CN HP
1/11/2016,ĐH0002221,KH-0429,P-387,1,14628000,14628000,8776800,NV00007,CN HP
1/12/2016,ĐH0002230,KH-0430,P-388,1,6000000,6000000,4200000,NV00007,CN HP
1/13/2016,ĐH0002251,KH-0431,P-097,1,3439000,3439000,2407300,NV00007,CN HCM
1/14/2016,ĐH0002251,KH-0431,P-068,1,1710000,1710000,1111500,NV00007,CN HCM
1/15/2016,ĐH0002270,KH-0432,P-389,1,5990000,5990000,3893500,NV00007,CN HP
1/16/2016,ĐH0002262,KH-0433,P-166,1,17601000,17601000,12320700,NV00007,CN HN
1/17/2016,ĐH0002261,KH-0434,P-390,1,1990909,1990909,1294090.85,NV00007,CN HP
1/18/2016,ĐH0002259,KH-0435,P-123,1,9990000,9990000,6493500,NV00007,CN HCM
1/19/2016,ĐH0002265,KH-0436,P-071,1,660000,660000,429000,NV00007,CN HCM
1/20/2016,ĐH0002263,KH-0433,P-391,1,51159000,51159000,33253350,NV00007,CN HP
1/21/2016,ĐH0002263,KH-0433,P-392,1,32002000,32002000,22401400,NV00007,CN HCM
1/22/2016,ĐH0002274,KH-0437,P-393,1,18363636,18363636,12854545.2,NV00007,CN HP
1/23/2016,ĐH0002274,KH-0437,P-394,1,772727,772727,502272.55,NV00007,CN HN
1/24/2016,ĐH0002274,KH-0437,P-395,1,381818,381818,229090.8,NV00007,CN HP
1/25/2016,ĐH0002275,KH-0438,P-396,1,1245455,1245455,809545.75,NV00007,CN HP
1/26/2016,ĐH0002275,KH-0438,P-397,1,1118182,1118182,670909.2,NV00007,CN HCM
1/27/2016,ĐH0002275,KH-0438,P-398,1,618182,618182,370909.2,NV00007,CN HP
1/28/2016,ĐH0002275,KH-0438,P-399,1,1136364,1136364,738636.6,NV00007,CN HCM
1/29/2016,ĐH0002275,KH-0438,P-400,1,354545,354545,248181.5,NV00007,CN HP
1/30/2016,ĐH0002276,KH-0438,P-401,1,290909,290909,189090.85,NV00007,CN HCM
1/31/2016,ĐH0002276,KH-0438,P-402,1,1836364,1836364,1101818.4,NV00007,CN HP
2/1/2016,ĐH0002276,KH-0438,P-403,1,113636,113636,73863.4,NV00007,CN HCM
2/2/2016,ĐH0002276,KH-0438,P-404,1,136364,136364,81818.4,NV00007,CN HP
2/3/2016,ĐH0002279,KH-0439,P-405,1,15150000,15150000,10605000,NV00007,CN HN
2/4/2016,ĐH0002277,KH-0437,P-406,1,7909090,7909090,5536363,NV00007,CN HCM
2/5/2016,ĐH0002281,KH-0440,P-102,1,2900000,2900000,2030000,NV00007,CN HN
2/6/2016,ĐH0002285,KH-0441,P-098,1,3850000,3850000,2695000,NV00007,CN HP
2/7/2016,ĐH0002285,KH-0441,P-097,1,3700000,3700000,2590000,NV00007,CN HP
