Mã KH,Khách hàng
KH-0353,CÔNG TY TNHH THƯƠNG MẠI & ĐẦU TƯ CÔNG NGHỆ PHƯỢNG HOÀNG
KH-0354,TRUNG TÂM ĐĂNG KIỂM XE CƠ GIỚI 98-02D-CNHTXĐTXDQL VÀ KT CHỢ HẢI AN TẠI TPBG
KH-0355,Công Ty TNHH Một Thành Viên Điện Tử Tin Học MHQ
KH-0356,Công ty Cổ Phần Giải Pháp Tech Vietnam
KH-0357,CÔNG TY CỔ PHẦN DỊCH VỤ VĂN PHÒNG BẮC HÀ
KH-0358,Công ty TNHH KSS Việt Nam
KH-0359,CÔNG TY CỔ PHẦN PHÁT TRIỂN DỊCH VỤ AN LỘC
KH-0360,"Hợp tác xã đầu tư, xây dựng, quản lý và khai thác chợ Hải An"
KH-0361,CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ BẢO GIANG
KH-0362,VĂN PHÒNG CÔNG CHỨNG NGUYỄN VĂN THU
KH-0363,Công ty TNHH Công Nghệ Phần Mềm TOP Việt Nam
KH-0364,CÔNG TY TNHH HỆ THỐNG MỚI VIỆT NAM
KH-0365,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TIN HỌC EST
KH-0366,Công ty Cổ Phần Đầu tư và Phát triển nhà Hà Nội số 52
KH-0367,CÔNG TY TNHH CÔNG NGHỆ VÀ TRUYỀN THÔNG AN MA VIỆT NAM
KH-0368,CÔNG TY CỔ PHẦN BELLSYSTEM24-HOASAO
KH-0369,CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ
KH-0370,VĂN PHÒNG ĐẠI DIỆN NGÂN HÀNG TNHH CTBC TẠI HÀ NỘI
KH-0371,CÔNG TY TNHH MAXPORT LIMITED (VIET NAM)
KH-0372,CÔNG TY TNHH CÔNG NGHỆ PHẨM BA ĐÌNH
KH-0373,CÔNG TY CP THỦY ĐIỆN LEADER NAM TIẾN
KH-0374,CÔNG TY CỔ PHẦN A B PHÚ QUỐC
KH-0375,CHI NHÁNH CÔNG TY TNHH TƯ VẤN KỸ THUẬT TIN HỌC VÀ THƯƠNG MẠI VIỆT C.A.D
KH-0376,CÔNG TY CỔ PHẦN BLUESOFTS
KH-0377,CÔNG TY TNHH ĐIỆN GIÓ CHÍNH THẮNG
KH-0378,CÔNG TY CỔ PHẦN ADVANTECH VIỆT NAM TECHNOLOGY
KH-0379,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VIỆT NAM SƠN
KH-0380,CÔNG TY CỔ PHẦN KỸ THUẬT CMP
KH-0381,CÔNG TY TNHH THIẾT BỊ NỘI THẤT CAO CẤP
KH-0382,CÔNG TY TNHH TÍN BẢO LAN
KH-0383,CÔNG TY TNNHH KỸ THUẬT BỀN VỮNG VIỆT NAM
KH-0384,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ DỊCH VỤ MÁY CHỦ MINH CHÂU
KH-0385,CÔNG TY TNHH INSIGHT TECHNOLOGY VIỆT NAM
KH-0386,CÔNG TY LIÊN DOANH Y HỌC VIỆT - HÀN
KH-0387,Công ty TNHH dịch vụ công nghệ phát triển bền vững và quản lý năng lượng
KH-0388,Công ty cổ phần tư vấn thiết kế điện Long Giang
KH-0389,CÔNG TY TNHH HỆ THỐNG TRUYỀN TẢI VÀ PHÂN PHỐI TOSHIBA (VIỆT NAM)
KH-0390,CÔNG TY TRÁCH NHIỆM HỮU HẠN TIẾP VẬN THĂNG LONG
KH-0391,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HOÀNG HÀ
KH-0392,Học Viện Khoa Học Xã Hội
KH-0393,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP VÀ ĐÀO TẠO CÔNG NGHỆ THÔNG TIN DIPT
KH-0394,Chi nhánh công ty cổ phần Logistics Vinalink
KH-0395,Công Ty TNHH Framas HaNoi
KH-0396,CÔNG TY TNHH FRAMGIA VIỆT NAM
KH-0397,TRUNG TÂM TIN HỌC- BỘ KHOA HỌC CÔNG NGHỆ
KH-0398,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM SAO VIỆT
KH-0399,Công Ty TNHH Sao Đỏ Việt Nam
KH-0400,CÔNG TY CỔ PHẦN THƯƠNG MẠI MÁY CHỦ HÀ NỘI
KH-0401,Công ty TNHH Fujitsu Việt Nam
KH-0402,CÔNG TY TNHH PHẦN MỀM CHẤT LƯỢNG
KH-0403,TRUNG TÂM HẠ TẦNG THÔNG TIN TỈNH PHÚC
KH-0404,CÔNG TY CỔ PHẦN TÍCH HỢP HỆ THỐNG THÔNG TIN 3CSI
KH-0405,CÔNG TY CỔ PHẦN HYUNDAI THÀNH CÔNG VIỆT NAM
KH-0406,CHI NHÁNH - CÔNG TY TNHH MỘT THÀNH VIÊN VIỄN THÔNG QUỐC TẾ FPT
KH-0407,CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG TIN NAM Á
KH-0408,CÔNG TY CỔ PHẦN CÔNG NGHỆ THƯƠNG MẠI DỊCH VỤ VIETSTARS
KH-0409,CÔNG TY CỔ PHẦN TƯ VẤN VÀ ĐẦU TƯ XÂY DỰNG THÁI NGUYÊN
KH-0410,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ PHÁT TRIỂN CÔNG NGHỆ TOÀN THẮNG
KH-0411,CHI NHÁNH MIỀN BẮC - CÔNG TY CỔ PHẦN HẠ TẦNG VIỄN THÔNG CMC
KH-0412,CÔNG TY CỔ PHẦN CÔNG NGHỆ GIÁO DỤC VÀ TRUYỀN THÔNG VECTECH
KH-0413,CÔNG TY CỔ PHẦN CÔNG NGHỆ BẰNG HỮU
KH-0414,CÔNG TY CỔ PHẦN ĐẦU TƯ CAPITAL HOUSE
KH-0415,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ CÔNG NGHỆ MIỀN BẮC
KH-0416,CÔNG TY TNHH THƯƠNG MẠI TÂN AN
KH-0417,CÔNG TY TNHH MEKTEC MANUFACTURING (VIỆT NAM)
KH-0418,Công ty TNHH Kỹ Nghệ Phúc Anh
KH-0419,CÔNG TY CỔ PHẦN TECOMEN
KH-0420,CÔNG TY CỔ PHẦN RCEE - NIRAS
KH-0421,CÔNG TY CỔ PHẦN TMC HÀ NỘI- VIỆT NAM
KH-0422,Công ty TNHH JGC Việt Nam
KH-0423,CÔNG TY TNHH TCG LAND
KH-0424,Công ty Cổ phần Overseas Fashions
KH-0425,Công ty TNHH Trung tâm Gia công Hà Nội Việt Nam POSCO-VNPC
KH-0426,Công Ty TNHH Liên Kết Công Nghệ
KH-0427,Chi Nhánh Công Ty TNHH Comin Việt Nam
KH-0428,Công Ty TNHH Hệ Thống Công Nghiệp Việt Nam
KH-0429,Công ty TNHH Hellobyte
KH-0430,Công Ty Cổ Phần Thương Mại Kỹ Thuật Tam Thành Phát
KH-0431,Văn phòng đại diện New World Fashion Group tại Hồ Chí Minh
KH-0432,CÔNG TY CỔ PHẦN ĐẦU TƯ Q&T
KH-0433,CÔNG TY TNHH CHUNGHWA TELECOM VIỆT NAM
KH-0434,Công ty TNHH Comin Việt Nam
KH-0435,Công Ty Cổ Phần Công Nghệ Thông Tin Địa Lý Ek
KH-0436,Công Ty Cổ Phần Thức Ăn Chăn Nuôi Thái Dương
KH-0437,Công ty TNHH Thương Mại Và Công Nghệ Việt
KH-0438,Công ty TNHH Dịch vụ Tiện ích Quốc tế OCS
KH-0439,TRUNG TÂM THỬ NGHIỆM KHÍ THẢI PHƯƠNG TIỆN GIAO THÔNG CƠ GIỚI ĐƯỜNG BỘ
KH-0440,Công Ty TNHH Viễn Thông Và Công Nghệ Cao Thái Sơn
KH-0441,Công ty TNHH thương mại và sản xuất Hoàng Mai
KH-0442,CÔNG TY CỔ PHẦN THƯƠNG MẠI HỒNG HÀ
KH-0443,TRUNG TÂM THÔNG TIN DỮ LIỆU ĐIỆN TỬ TỈNH THỪA THIÊN HUẾ
KH-0444,CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ THÔNG TIN TOÀN CẦU
KH-0445,CÔNG TY TNHH HANSOL ELECTRONICS VIỆT NAM
KH-0446,CÔNG TY TNHH NETCAB
KH-0447,CÔNG TY CỔ PHẦN VICOSTONE
KH-0448,CÔNG TY TNHH SX-TM HÀNH MỸ
KH-0449,CÔNG TY TNHH MANPOWER VIỆT NAM
KH-0450,CHI NHÁNH CÔNG TY LIÊN DOANH TNHH NIPPON EXPRESS (VIỆT NAM) TẠI HÀ NỘI
KH-0451,CÔNG TY CỔ PHẦN ĐIỆN TOÁN VIỄN THÔNG VIETTELCO
KH-0452,CÔNG TY CỔ PHẦN KỸ THUẬT SIGMA
KH-0453,Công ty cổ phần đầu tư và phát triển kỹ thuật năng lượng VEC
KH-0454,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ SAVIS VIỆT NAM
KH-0455,Công ty cổ phần Vận tải & Dịch vụ Petrolimex Nghệ Tĩnh
KH-0456,Công ty TNHH May Mặc Excel Việt Nam
KH-0457,CÔNG TY CỔ PHẦN TẬP ĐOÀN PHƯỢNG HOÀNG XANH A&A
KH-0458,TRƯỜNG QUỐC TẾ ĐA CẤP ANH VIỆT HOÀNG GIA (BVIS ROYAL)
KH-0459,CÔNG TY TNHH DU LỊCH MẠO HIỂM XUYÊN Á
KH-0460,Công ty TNHH Thiết Bị Khoa Học Công Nghệ Mới
KH-0461,Công ty Cổ Phần Máy Tính Nhật Mỹ
KH-0462,Dự án phát triển hệ thống thông tin quản lý ngành Lâm nghiệp tại Việt Nam-Giai đoạn 2 (Formis II)
KH-0463,Công Ty TNHH Fruit of The Loom Việt Nam
KH-0464,CÔNG TY TNHH TIN HỌC VIỄN THÔNG NHẤT TIẾN CHUNG
KH-0465,CÔNG TY CỔ PHẦN PHẦN MỀM THĂNG LONG
KH-0466,CÔNG TY TNHH JFD VIỆT NAM
KH-0467,TRUNG TÂM ỨNG DỤNG CÔNG NGHỆ THÔNG TIN XÚC TIẾN THƯƠNG MẠI
KH-0468,Công ty TNHH Công nghiệp Oriental Sports Việt Nam
KH-0469,Công ty TNHH ACTIVE-SEMI Việt Nam
KH-0470,Công Ty CP Dịch Vụ Công Nghệ Sao Bắc Đẩu
KH-0471,CÔNG TY CỔ PHẦN SSS VIỆT NAM
KH-0472,Công Ty TNHH Sự Lựa Chọn Vàng
KH-0473,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TIN HỌC TÍN THÀNH
KH-0474,Công ty TNHH Yen Of LonDon
KH-0475,Công ty TNHH Sugiko Việt Nam
KH-0476,CHI NHÁNH CÔNG TY TNHH PHẦN MỀM FPT TẠI ĐÀ NẴNG
KH-0477,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ FANXIPAN VIỆT NAM
KH-0478,Chi nhánh công ty TNHH Shoei Việt Nam tại Bắc Ninh
KH-0479,Công ty TNHH Terumo Việt Nam
KH-0480,CÔNG TY TNHH CÔNG NGHỆ ẮC QUY HENG LI (VIỆT NAM)
KH-0481,CÔNG TY TNHH VSIP BẮC NINH
KH-0482,Công Ty Cổ Phần Hà Yến
KH-0483,Công Ty Cổ Phần Trò Chơi Hiker
KH-0484,Văn phòng dự án Tổ chức TRAFFIC International tại Việt Nam
KH-0485,CÔNG TY CỔ PHẦN NHÂN LỰC QUỐC TẾ HRI
KH-0486,CỤC XÚC TIẾN THƯƠNG MẠI
KH-0487,CÔNG TY CỔ PHẦN HANACANS
KH-0488,QES (ASIA - PACIFIC) SDN BHD.
KH-0489,Công Ty TNHH Puretech Việt Nam
KH-0490,Công ty TNHH MTV Cao Su Dầu Tiếng
KH-0491,Công ty TNHH PASONA TECH Việt Nam
KH-0492,Công ty TNHH công nghiệp C.N.T
KH-0493,Công Ty TNHH Honda Lock Việt Nam
KH-0494,Công ty TNHH Sungnam Knitting Mills
KH-0495,CÔNG TY TNHH DAIN LEADERS VIỆT NAM
KH-0496,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG KHÔNG SÂN BAY TÂN SƠN NHẤT
KH-0497,Công Ty Cổ Phần Careerbuilder
KH-0498,"Ngân Hàng Citibank, N.A., Chi Nhánh Thành Phố Hồ Chí Minh"
KH-0499,CÔNG TY TNHH ĐIỆN TỬ TIN HỌC IT
KH-0500,CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN KHAI THÁC CÔNG TRÌNH THỦY LỢI PHÚ THỌ
KH-0501,Công ty TNHH Vật Tư Khoa Học Kỹ Thuật Đông Dương
KH-0502,Công Ty TNHH Thương Mại Dịch Vụ Kỹ Thuật G.P.L
KH-0503,VĂN PHÒNG TỈNH ỦY LÀO CAI
KH-0504,Công Ty TNHH Công Nghệ Tin Học C.P
KH-0505,CÔNG TY TNHH NOZOMI
KH-0506,Công ty TNHH Sài Gòn STEC
KH-0507,CÔNG TY TNHH NIPPON PAINT VIỆT NAM (HÀ NỘI)
KH-0508,Công ty Cổ phần LICOGI13- Nền móng xây dựng
KH-0509,CÔNG TY TNHH EM-TECH VIỆT NAM
KH-0510,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ DẦU KHÍ ĐÔNG HƯNG
KH-0511,CÔNG TY CỔ PHẦN THỰC PHẨM RICHY MIỀN BẮC
KH-0512,Công ty TNHH Công nghệ Niềm Tin
KH-0513,CÔNG TY CỔ PHẦN GIÀY ĐẠI LỘC
KH-0514,CÔNG TY TNHH HITACHI PLANT TECHNOLOGIES ( VIỆT NAM)
KH-0515,CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ VÀ DỊCH VỤ NÔNG NGHIỆP VIỆT NAM
KH-0516,CÔNG TY TNHH SD GLOBAL VIỆT NAM
KH-0517,CÔNG TY TNHH TAKAHATA PRECISION VIỆT NAM
KH-0518,CÔNG TY CỔ PHẦN SẢN XUẤT HÀNG THỂ THAO
KH-0519,CÔNG TY TNHH SCANDINAVIAN DESIGN VIỆT NAM
KH-0520,Công Ty TNHH Công Nghiệp Vĩnh Tường Miền Bắc Việt Nam
KH-0521,CÔNG TY TNHH GIẢI PHÁP DG
KH-0522,CÔNG TY CỔ PHẦN SXKD XNK BÌNH THẠNH
KH-0523,CTY JFE ENGINEERING CORPORATION – NTC THCV THI CÔNG & HT CÁC HM LQ ĐẾN GT “CP-2: NM XỬ LÝ NƯỚC THẢI”
KH-0524,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN SAIGONTEL
KH-0525,Công Ty Cổ Phần Phát Triển Đô Thị Quốc Tế Việt Nam
KH-0526,CÔNG TY TNHH DỆT VÀ NHUỘM HƯNG YÊN
KH-0527,TRUNG TÂM ĐÀO TẠO VÀ NÂNG CAO NĂNG LỰC PHỤ NỮ
KH-0528,CÔNG TY CỔ PHẦN CÔNG NGHỆ OCG
KH-0529,Công Ty Cổ Phần Nhiệt Điện Vũng Áng II (Vapco)
KH-0530,CÔNG TY TNHH TM&DV VĨNH CƯỜNG
KH-0531,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHỆ HÀ VIỆT
KH-0532,CONG TY TNHH MICHELLE
KH-0533,Công ty TNHH MT Hojgaard Việt Nam
KH-0534,Công ty TNHH Technova
KH-0535,CÔNG TY CỔ PHẦN DỊCH VỤ KỸ THUẬT MOBIFONE
KH-0536,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI PHÚ QUANG HƯNG
KH-0537,CÔNG TY TNHH KHU CÔNG NGHIỆP THĂNG LONG VĨNH PHÚC
KH-0538,CÔNG TY CỔ PHẦN THIẾT BỊ VÀ PHÁT TRIỂN CÔNG NGHỆ TRỌNG ĐIỂM
KH-0539,CÔNG TY TNHH BUSINESS CONSULTANTS VIỆT NAM
KH-0540,Công ty Cổ phần INNOTEK
KH-0541,CÔNG TY CỔ PHẦN FPS VIỆT NAM
KH-0542,CÔNG TY TNHH TƯ VẤN VÀ ĐẦU TƯ TIÊN PHONG QUỐC TẾ VIỆT NAM
KH-0543,CÔNG TY TNHH ENS FOAM
KH-0544,CÔNG TY TNHH INSPECTORIO VIỆT NAM
KH-0545,CHI NHÁNH CÔNG TY CỔ PHẦN FOODY TẠI HÀ NỘI
KH-0546,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VẠN LỘC
KH-0547,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN VINATEX QUỐC TẾ
KH-0548,CÔNG TY TNHH TRUYỀN THÔNG VÀ QUẢNG CÁO THÀNH NAM
KH-0549,CÔNG TY TRÁCH NHIỆM HỮU HẠN VÂN LONG
KH-0550,CÔNG TY TNHH TƯ VẤN COUTURE VIỆT NAM
KH-0551,CÔNG TY CỔ PHẦN NƯỚC GIẢI KHÁT SANEST KHÁNH HÒA
KH-0552,CÔNG TY CỔ PHẦN ĐẠI ĐỒNG TIẾN
KH-0553,Công ty CP Truyền thông và Công nghệ A1
KH-0554,CÔNG TY TNHH KHU CÔNG NGHIỆP THĂNG LONG
KH-0555,CÔNG TY TNHH KỸ THUẬT VÀ THƯƠNG MẠI VIỆT Á
KH-0556,CÔNG TY CỔ PHẦN CÔNG NGHỆ TAM PHÚ
KH-0557,Công ty TNHH Tư vấn Quản lý MCG
KH-0558,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ HC TOÀN CẦU
KH-0559,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN HƯNG PHÁT
KH-0560,Công ty TNHH Thakral One
KH-0561,Công ty TNHH Phần mềm CADCAM
KH-0562,CN Công ty TNHH Nhà nước MTV Thương mại và XNK VIETTEL-Trung tâm phân phối
KH-0563,CÔNG TY TNHH EL DORADO VIỆT NAM
KH-0564,Công Ty TNHH Phần mềm Tin Học Điện Tử Tích Hợp
KH-0565,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ TRẦN ANH
KH-0566,Công ty Cổ phần Quảng cáo Mai Cát Tường
KH-0567,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ DU LỊCH VIT HẠ LONG
KH-0568,Công ty TNHH Phân Phối SNB
KH-0569,Chi Nhánh Công Ty TNHH Yen Of London
KH-0570,Công ty TNHH BX Bunka Việt Nam
KH-0571,CÔNG TY TNHH THIẾT BỊ KỸ THUẬT TUẤN THỊNH
KH-0572,CÔNG TY TNHH CNC VINA
KH-0573,Công ty TNHH GoerTek Vina
KH-0574,CÔNG TY TNHH WELLBE VIỆT NAM
KH-0575,CÔNG TY TNHH YOON IL VIỆT NAM
KH-0576,TRUNG TÂM TƯ VẤN THIẾT KẾ VÀ XÂY DỰNG
KH-0577,Viện Khoa Học và Kỹ Thuật Hạt Nhân
KH-0578,CÔNG TY CỔ PHẦN TẬP ĐOÀN THÀNH CÔNG
KH-0579,CÔNG TY TNHH VIỆT NAM TOYO DENSO
KH-0580,CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN
KH-0581,CÔNG TY CỔ PHẦN KORIHOME VIỆT NAM
KH-0582,NGÂN HÀNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM - CHI NHÁNH HUYỆN XUÂN LỘC ĐỒNG NAI
KH-0583,CÔNG TY TNHH MAZARS VIỆT NAM
KH-0584,CÔNG TY CỔ PHẦN SẢN XUẤT KINH DOANH DƯỢC VÀ TRANG THIẾT BỊ Y TẾ VIỆT MỸ
KH-0585,Công ty TNHH Đầu Tư thương mại Dung Hòa
KH-0586,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ PHÁT TRIỂN HẢI TRUNG
KH-0587,CÔNG TY CỔ PHẦN JIVC
KH-0588,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ CÔNG NGHỆ ANH EM
KH-0589,CÔNG TY TNHH UTI VINA
KH-0590,Trường THPT Nguyễn Văn Linh
KH-0591,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH – CÔNG TY TNHH HASHIMA VIỆT NAM
KH-0592,CÔNG TY CỔ PHẦN HẠ TẦNG ĐÔNG Á
KH-0593,Công Ty TNHH Hệ Thống Thông Tin Fpt
KH-0594,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ VÀ TRUYỀN THÔNG VICTORY VIỆT NAM
KH-0595,"Co-well Co., Ltd"
KH-0596,CÔNG TY TNHH HWATA VIỆT NAM
KH-0597,CÔNG TY TNHH YOUNGJIN HI - TECH VINA
KH-0598,CÔNG TY PHẦN MỀM VNPT- CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG
KH-0599,Công ty TNHH thương mại và dịch vụ Thông Thiên
KH-0600,Công Ty TNHH Thương Mại Công Nghệ Minh Thắng
KH-0601,Công ty TNHH May Nien Hsing Việt Nam
KH-0602,TRƯỜNG THPT VIỆT MỸ ANH
KH-0603,Công ty TNHH thương mại dịch vụ An Đạt Thịnh
KH-0604,CÔNG TY TNHH MTV ỨNG DỤNG CÔNG NGHỆ VÀ DỊCH VỤ TRUYỀN THÔNG ÂU LẠC
KH-0605,CÔNG TY CỔ PHẦN VĂN HÓA TÂN BÌNH
KH-0606,CÔNG TY TNHH THƯƠNG MẠI & DỊCH VỤ T.T.K
KH-0607,CÔNG TY CỔ PHẦN THỦY SẢN CÀ MAU
KH-0608,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG BẤT ĐỘNG SẢN LANMAK
KH-0609,Công ty TNHH Phát triển công nghệ và thương mại Gia Long
KH-0610,CÔNG TY CỐ PHẦN DỊCH VỤ MÁY TÍNH KỶ NGUYÊN
KH-0611,Công Ty Cổ Phần Thực Phẩm Richy Miền Nam
KH-0612,Công ty TNHH Thương Mại Tin Học Công Nghệ Zonotek
KH-0613,Công ty CP ĐT và PTCN Quốc gia ADG
KH-0614,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TIN HỌC HT VIỆT NAM
KH-0615,Công ty TNHH Yokowo Việt Nam
KH-0616,CÔNG TY CỔ PHẦN VẬN TẢI BÌNH AN HÀ TIÊN
KH-0617,Công ty CP Máy Tính Hà Nội
KH-0618,Công ty TNHH GTS Hải Đăng
KH-0619,CÔNG TY TNHH DOOSUN VIỆT NAM
KH-0620,CÔNG TY TNHH VIỆT NAM TOKAI
KH-0621,CÔNG TY NĂNG LƯỢNG MEKONG
KH-0622,Công ty TNHH Thương mại Kỹ thuật Song Lợi
KH-0623,CÔNG TY CỔ PHẦN BỀN
KH-0624,CÔNG TY TNHH BAGS CONNECTION VINA
KH-0625,Công ty TNHH Yudo Việt Nam
KH-0626,CÔNG TY CỔ PHẦN NSTECH VIỆT NAM
KH-0627,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TRÂM QUỲNH
KH-0628,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ TIN HỌC MẠNH TÚ
KH-0629,CÔNG TY TNHH GIẢI PHÁP VÀ DỊCH VỤ CAO CẤP
KH-0630,CÔNG TY TNHH THƯƠNG MẠI LONG MỸ
KH-0631,Công ty TNHH công nghệ xây dựng Đại Phong
KH-0632,CÔNG TY TNHH MHI AEROSPACE VIỆT NAM
KH-0633,CÔNG TY TNHH FRESCO FOODS
KH-0634,CÔNG TY VTC DỊCH VỤ TRUYỀN HÌNH SỐ
KH-0635,Công Ty Kurihara Việt Nam
KH-0636,CÔNG TY TNHH KỸ THUẬT CHANGHONG (VIỆT NAM)
KH-0637,Công Ty TNHH Một Thành Viên Đóng Tàu Hạ Long
KH-0638,CÔNG TY CỔ PHẦN DELTA CROPCARE
KH-0639,Cửa Hàng Công Liên
KH-0640,CÔNG TY M&C ELECTRONICS VINA
KH-0641,CÔNG TY TNHH 1 TV DỊCH VỤ THƯƠNG MẠI PHÚC HOÀNG
KH-0642,Công Ty TNHH QUảng Cáo B.M.C
KH-0643,CÔNG TY TNHH QUẢN LÝ CA
KH-0644,Công Ty CP Thiết Kế và Trang Trí Nội Thất Norah
KH-0645,Công Ty Cổ Phần Cơ Kim Khí Việt Mỹ
KH-0646,CÔNG TY TNHH NIKKEN INTERNATIONAL ASIA
KH-0647,CÔNG TY TNHH BROTEX (VIỆT NAM)
KH-0648,Công ty TNHH Lockon Việt Nam
KH-0649,VPĐD THƯỜNG TRÚ HIỆP HỘI CÁC PHÒNG THƯƠNG MẠI & CÔNG NGHIỆP ĐỨC (DIHK) TẠI VIỆT NAM
KH-0650,Công ty TNHH KISHIN Việt Nam
KH-0651,Công Ty TNHH Công Nghệ Kinh Doanh Quốc Tế
KH-0652,CÔNG TY TNHH CO-WELL CHÂU Á
KH-0653,Công Ty Cổ Phần BlueCom Việt Nam
KH-0654,Công ty Cổ phần Tân Cảng Bến Thành
KH-0655,Công ty TNHH NISHIO Rent All Việt Nam
KH-0656,CÔNG TY TNHH TÂN HỒNG HÀ
KH-0657,CÔNG TY TNHH NS TECH.VINA
KH-0658,CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG ĐIỆN 4
KH-0659,VPĐD TT HIỆP HỘI CÁC PHÒNG THƯƠNG MẠI & CÔNG  NGHIỆP ĐỨC (DIHK) TẠI TP. HỒ CHÍ MINH
KH-0660,Công Ty TNHH Mizuho Precision Việt Nam
KH-0661,TRUNG TÂM TƯ VẤN XÂY DỰNG CÔNG NGHIỆP VÀ HẠ TẦNG
KH-0662,Công ty TNHH Maxpeed Hà Nội
KH-0663,Đài Phát thanh - Truyền hình Hải Dương
KH-0664,CÔNG TY TNHH RICHARD MOORE ASSOCIATES
KH-0665,CÔNG TY TNHH GIẤY  KRAFT VINA
KH-0666,CÔNG TY TNHH WURTH VIỆT NAM
KH-0667,CÔNG TY CỔ PHẦN DỊCH VỤ KỸ THUẬT VIỄN THÔNG
KH-0668,Công ty TNHH Kotiti Việt Nam
KH-0669,Công ty Cổ phần Đầu tư Kỹ thuật Berjaya Gia Thịnh
KH-0670,CÔNG TY TNHH PROPERWELL VIỆT NAM
KH-0671,TRUNG TÂM PHÒNG CHỐNG HIV/AIDS TỈNH KIÊN GIANG
KH-0672,CÔNG TY TNHH NIPPON PAINT VĨNH PHÚC
KH-0673,CÔNG TY TNHH TƯ VẤN ĐẦU TƯ & XÂY DỰNG A.E
KH-0674,CÔNG TY TNHH GENSOFT VINA
KH-0675,CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY LẮP HÀ NGUYÊN
KH-0676,CÔNG TY TNHH DỊCH VỤ BẢO DƯỠNG MÁY BAY CẢNG HÀNG KHÔNG MIỀN NAM
KH-0677,VĂN PHÒNG ĐẠI DIỆN CÔNG TY VIETNAM HOLDING ASSET MANAGEMENT LTD. TẠI THÀNH PHỐ HỒ CHÍ MINH
KH-0678,CÔNG TY CỔ PHẦN PHÁT TRIỂN NHÀ G HOMES
KH-0679,CÔNG TY TNHH OGILVYONE VIỆT NAM
KH-0680,"CÔNG TY TNHH VẬN CHUYỂN ""K"" LINE (VIỆT NAM)"
KH-0681,CÔNG TY TNHH ĐÔNG A
KH-0682,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI TIẾN MINH
KH-0683,Công Ty Cổ Phần Thương Mại Phân Phối Các Sản Phẩm Điện Tử Tin Học
KH-0684,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN - TÒA THÁP KHÁCH SẠN
KH-0685,CÔNG TY CỔ PHẦN THƯƠNG MẠI & PHÁT TRIỂN CÔNG NGHỆ HƯNG THIỆN
KH-0686,CÔNG TY TNHH VÕ TRỌNG NGHĨA
